Symbol,Date,Open,High,Low,Close,Volume
AAME,08-Jun-2011,2.04,2.04,1.96,2,4000
AAON,08-Jun-2011,9.5615,9.6148,9.4311,9.4341,45700
AAPL,08-Jun-2011,47.3971,47.8286,47.2357,47.4629,11924500
AAWW,08-Jun-2011,57.98,58.94,57.75,58.05,235400
AAXJ,08-Jun-2011,62.39,62.43,61.82,61.97,211400
ABAX,08-Jun-2011,27.99,28.51,27.98,28.27,73400
ABCB,08-Jun-2011,8.57,8.76,8.5,8.75,87000
ABCD,08-Jun-2011,3.29,3.29,3.12,3.17,28100
ABIO,08-Jun-2011,80.64,81.48,76.86,77.28,265300
ABMD,08-Jun-2011,17.01,17.18,16.84,17.06,97400
ACAD,08-Jun-2011,1.65,1.69,1.6,1.66,387100
ACET,08-Jun-2011,6.95,7.02,6.9,7.01,101300
ACFC,08-Jun-2011,7.2,7.2,7.2,7.2,200
ACGL,08-Jun-2011,33.34,33.4,33.19,33.27,280600
ACHN,08-Jun-2011,7.01,7.04,6.81,6.96,375600
ACIW,08-Jun-2011,9.9967,10.0467,9.8567,9.8933,136500
ACLS,08-Jun-2011,6.8,6.84,6.52,6.56,736100
ACMR,08-Jun-2011,2.63,2.63,2.53,2.57,15800
ACNB,08-Jun-2011,15.26,15.55,15.25,15.46,3100
ACOR,08-Jun-2011,31.03,31.36,30.38,31.18,637800
ACRX,08-Jun-2011,4.55,4.64,4.23,4.4,15400
ACTG,08-Jun-2011,34,34.4,33.54,33.9,309700
ACWI,08-Jun-2011,47.77,47.93,47.52,47.61,622100
ACWX,08-Jun-2011,45.06,45.06,44.65,44.73,34100
ACXM,08-Jun-2011,12.53,12.7,12.46,12.5,402900
ADBE,08-Jun-2011,32.87,33.01,32.2,32.24,4481200
ADES,08-Jun-2011,7.71,8.15,7.66,8.15,76000
ADI,08-Jun-2011,39.27,39.27,38.44,38.54,2722500
ADP,08-Jun-2011,46.2598,46.3388,45.891,46.0667,3038100
ADRA,08-Jun-2011,27.41,27.51,27.35,27.35,1100
ADRD,08-Jun-2011,22.22,22.3,22.14,22.14,9900
ADRE,08-Jun-2011,45.84,46.05,45.61,45.69,27100
ADRU,08-Jun-2011,22.12,22.17,22.05,22.05,1600
ADSK,08-Jun-2011,39.5,39.5,37.65,38.24,6155100
ADTN,08-Jun-2011,39.6,39.75,38.64,39.31,1786500
ADUS,08-Jun-2011,5.53,5.6,5.53,5.6,1300
AEHR,08-Jun-2011,1.42,1.45,1.36,1.38,3400
AEIS,08-Jun-2011,14.41,14.41,14,14.13,279800
AETI,08-Jun-2011,3.21,3.26,3,3.01,6500
AEY,08-Jun-2011,2.49,2.51,2.45,2.5,18800
AEZS,08-Jun-2011,1410,1452,1380,1410,2883700
AFAM,08-Jun-2011,27.44,27.93,26.87,27.23,127200
AFSI,08-Jun-2011,10.795,10.855,10.59,10.595,215100
AGEN,08-Jun-2011,0.88,0.89,0.83,0.84,1047200
AGII,08-Jun-2011,30.25,30.25,29.72,30,178100
AGNC,08-Jun-2011,30.56,30.74,30.54,30.7,5354500
AGYS,08-Jun-2011,7.83,8.18,7.59,7.84,257900
AHGP,08-Jun-2011,45.81,45.85,44.62,45.06,50200
AHPI,08-Jun-2011,4.14,4.14,4.14,4.14,0
AIMC,08-Jun-2011,24.07,24.09,23.35,23.36,212500
AINV,08-Jun-2011,10.82,10.9,10.61,10.64,2223300
AIRT,08-Jun-2011,9.1,9.16,9.05,9.05,2700
AKAM,08-Jun-2011,31.18,31.22,29.84,30.26,8712900
AKRX,08-Jun-2011,6.73,6.82,6.62,6.68,393400
ALCO,08-Jun-2011,24.69,24.99,24.5,24.63,30900
ALGN,08-Jun-2011,23.31,23.39,22.85,23,629900
ALGT,08-Jun-2011,42.46,44.06,42.46,42.65,200500
ALIM,08-Jun-2011,7.51,7.89,7.51,7.53,198700
ALKS,08-Jun-2011,18,18.23,17.8,17.88,595600
ALLT,08-Jun-2011,14.93,14.99,13.9,14.24,186500
ALNY,08-Jun-2011,9.59,9.71,9.42,9.59,236600
ALOG,08-Jun-2011,52.03,52.44,51.5,51.83,297000
ALOT,08-Jun-2011,8.24,8.24,7.81,7.81,1300
ALRN,08-Jun-2011,2,2.09,2,2.09,1300
ALSK,08-Jun-2011,8.7,8.85,8.65,8.81,581400
ALTR,08-Jun-2011,45.85,45.98,44.19,44.32,6241900
ALXN,08-Jun-2011,47.89,48.86,47.72,48.44,1364000
AMAG,08-Jun-2011,17.57,17.81,17.36,17.44,82700
AMAT,08-Jun-2011,12.96,12.99,12.69,12.73,15378900
AMCN,08-Jun-2011,3.15,3.2,3.01,3.13,296700
AMD,08-Jun-2011,7.72,7.89,7.54,7.62,27124700
AMED,08-Jun-2011,27.5,27.53,26.57,26.64,460700
AMGN,08-Jun-2011,58.87,59.11,58.45,58.95,3715900
AMKR,08-Jun-2011,5.92,5.97,5.82,5.85,1287600
AMNB,08-Jun-2011,17.7,18.13,17.55,17.82,15200
AMOT,08-Jun-2011,5.37,5.55,5.2,5.24,27700
AMRB,08-Jun-2011,6.58,6.76,6.51,6.76,1800
AMRN,08-Jun-2011,16.63,16.76,15.78,16.24,3935600
AMRS,08-Jun-2011,436.65,438.6,431.4,432.75,227200
AMSC,08-Jun-2011,78.5,79.3,75.6,75.6,1474900
AMSF,08-Jun-2011,22.23,22.41,22.18,22.32,55300
AMSWA,08-Jun-2011,7.42,7.51,7.33,7.49,49000
AMTD,08-Jun-2011,19.35,19.41,18.99,19.03,5021800
AMWD,08-Jun-2011,18.11,18.43,18.11,18.16,9700
AMZN,08-Jun-2011,187.68,189.81,186.32,188.05,3717200
ANAT,08-Jun-2011,77.32,77.49,77.1,77.15,15100
ANCB,08-Jun-2011,9.32,9.4,9.31,9.31,4600
ANCX,08-Jun-2011,7.4,7.5,7.4,7.4,6800
ANDE,08-Jun-2011,26.44,26.7867,26.0067,26.1067,150400
ANGO,08-Jun-2011,15.32,15.33,15.19,15.2,45700
ANIK,08-Jun-2011,7,7.01,6.91,7,43000
ANSS,08-Jun-2011,53.26,53.55,52.42,52.54,483200
ANTH,08-Jun-2011,513.28,536.32,510.08,515.84,125300
AOSL,08-Jun-2011,13.37,13.73,13.25,13.56,47900
APEI,08-Jun-2011,42.96,43.38,41.77,41.8,109000
APOG,08-Jun-2011,11.85,12,11.7,11.74,118500
APRI,08-Jun-2011,49.8,49.8,47.5,47.5,168000
APWC,08-Jun-2011,4.27,4.29,4.03,4.15,19900
ARAY,08-Jun-2011,6.75,6.82,6.67,6.72,1576700
ARCC,08-Jun-2011,16.85,16.95,16.76,16.77,1200600
ARCI,08-Jun-2011,4.5,4.6,4.4,4.6,4500
ARCW,08-Jun-2011,0.896,0.94,0.88,0.94,19700
AREX,08-Jun-2011,24.05,24.66,23.16,23.3,288700
ARII,08-Jun-2011,20.78,21.68,20.78,20.91,46400
ARKR,08-Jun-2011,16.42,16.5,16.4,16.4,1400
ARLP,08-Jun-2011,34.66,35,33.825,33.92,113100
ARNA,08-Jun-2011,12.6,13,12.5,12.6,1487800
AROW,08-Jun-2011,23.57,23.88,23.51,23.73,19200
ARQL,08-Jun-2011,6.38,6.47,6.22,6.3,235800
ARRS,08-Jun-2011,10.6,10.72,10.53,10.64,1543300
ARRY,08-Jun-2011,2.38,2.4,2.28,2.3,458200
ARTNA,08-Jun-2011,18.63,18.69,18.54,18.64,3100
ARTW,08-Jun-2011,9.22,9.25,8.71,8.78,8400
ARTX,08-Jun-2011,1.93,1.99,1.92,1.95,47100
ARWR,08-Jun-2011,0.51,0.55,0.51,0.55,78300
ASCMA,08-Jun-2011,45.98,47.33,45.81,46.21,74200
ASFI,08-Jun-2011,7.27,7.32,7.27,7.29,23600
ASML,08-Jun-2011,38.1,38.24,37.41,37.67,2007200
ASNA,08-Jun-2011,15.61,15.715,15.4,15.57,819200
ASPS,08-Jun-2011,36.06,37.05,36.03,36.89,58300
ASRV,08-Jun-2011,2.01,2.01,1.96,2,19400
ASRVP,08-Jun-2011,25.1,25.1,25.1,25.1,100
ASTC,08-Jun-2011,1.11,1.17,1.1,1.13,22000
ASTE,08-Jun-2011,34.51,34.63,34.08,34.19,73100
ASUR,08-Jun-2011,1.9067,2.06,1.8933,1.8933,4500
ASYS,08-Jun-2011,19.74,20,19,19.19,262400
ATAI,08-Jun-2011,11.6,11.6,10.86,10.98,81000
ATAX,08-Jun-2011,5.78,5.79,5.74,5.76,18300
ATEC,08-Jun-2011,41.88,42.36,40.08,40.44,302700
ATHN,08-Jun-2011,41.16,41.71,40.84,41.08,222100
ATHX,08-Jun-2011,2.68,2.68,2.56,2.58,72700
ATLO,08-Jun-2011,16.84,17.03,16.84,16.96,5800
