Symbol,Date,Open,High,Low,Close,Volume
AAME,21-Nov-2011,1.88,1.9,1.84,1.88,5100
AAON,21-Nov-2011,9.0178,9.3289,9.0178,9.0445,35000
AAPL,21-Nov-2011,52.89,53.0971,52.2729,52.7157,16007200
AAWW,21-Nov-2011,39.07,39.74,37.62,38.16,354900
AAXJ,21-Nov-2011,49.58,49.61,48.72,49.01,371000
ABAX,21-Nov-2011,25.69,26.24,25.69,25.86,63800
ABCB,21-Nov-2011,9.83,9.99,9.65,9.65,52100
ABCD,21-Nov-2011,2.96,3.04,2.88,2.88,43400
ABIO,21-Nov-2011,53.34,59.64,53.34,59.64,316700
ABMD,21-Nov-2011,17.96,18.24,17.52,17.79,306000
ACAD,21-Nov-2011,1.03,1.04,1,1.04,146300
ACET,21-Nov-2011,6.22,6.25,6.06,6.07,60300
ACFC,21-Nov-2011,1.02,1.02,1.01,1.01,5300
ACGL,21-Nov-2011,36.17,36.33,35.73,36.01,801800
ACHC,21-Nov-2011,9.34,9.35,9.26,9.3,700
ACHN,21-Nov-2011,6.03,6.05,5.64,5.94,828600
ACIW,21-Nov-2011,9.8533,10.0167,9.7933,9.9033,222700
ACLS,21-Nov-2011,4.88,4.92,4.6,4.72,574800
ACNB,21-Nov-2011,13.83,14,13.7,13.73,7100
ACOR,21-Nov-2011,21.52,22.12,21.49,21.5,648500
ACRX,21-Nov-2011,2.95,2.95,2.88,2.88,3000
ACTG,21-Nov-2011,31.97,31.99,29.86,31.09,762600
ACWI,21-Nov-2011,41.06,41.06,40.33,40.67,1386500
ACWX,21-Nov-2011,36.12,36.19,35.63,35.95,370300
ACXM,21-Nov-2011,12.29,12.4,12.01,12.16,406100
ADBE,21-Nov-2011,26.85,26.86,26.33,26.63,6730500
ADES,21-Nov-2011,7.86,8.42,7.8,8.335,64100
ADI,21-Nov-2011,34.8,34.97,33.98,34.34,4364300
ADP,21-Nov-2011,43.5205,43.5205,42.8534,43.2398,2610100
ADRA,21-Nov-2011,22.13,22.24,22.01,22.22,1600
ADRD,21-Nov-2011,18.13,18.16,17.97,18.16,11000
ADRE,21-Nov-2011,38.39,38.52,37.86,38.36,42800
ADRU,21-Nov-2011,18,18.04,17.9,18.04,3000
ADSK,21-Nov-2011,33.23,33.24,32.13,32.4,3474800
ADTN,21-Nov-2011,31.94,31.94,30.86,31.25,906700
ADUS,21-Nov-2011,3.9,3.99,3.82,3.86,3300
AEGN,21-Nov-2011,15.33,15.58,15.02,15.19,141200
AEHR,21-Nov-2011,0.57,0.65,0.57,0.6,13600
AEIS,21-Nov-2011,8.89,8.91,8.69,8.85,445800
AETI,21-Nov-2011,4,4.01,3.85,4.01,27400
AEY,21-Nov-2011,2,2.01,2,2.01,2500
AEZS,21-Nov-2011,984,1002,948,972,958100
AFAM,21-Nov-2011,14.42,14.69,14.42,14.43,66600
AFSI,21-Nov-2011,12.675,12.76,12.62,12.66,122100
AGEN,21-Nov-2011,2.53,2.59,2.46,2.57,125300
AGII,21-Nov-2011,29.56,29.69,28.81,28.84,85700
AGNC,21-Nov-2011,27.88,27.99,27.75,27.88,3376100
AGYS,21-Nov-2011,8.3,8.41,7.91,7.98,137700
AHGP,21-Nov-2011,49.48,49.48,48.04,48.99,43700
AHPI,21-Nov-2011,3.42,3.48,3.32,3.37,3900
AIMC,21-Nov-2011,15.73,16,15.5,15.74,116200
AINV,21-Nov-2011,7.21,7.24,7.05,7.12,1700100
AIRT,21-Nov-2011,8.31,8.31,8.1,8.25,1500
AKAM,21-Nov-2011,27.64,27.64,26.6,27.33,4542800
AKRX,21-Nov-2011,8.76,9.01,8.75,8.97,977300
ALCO,21-Nov-2011,19.7,20,19.65,19.65,11600
ALGN,21-Nov-2011,22.06,22.49,21.76,22.44,586800
ALGT,21-Nov-2011,49.83,50.46,49.01,49.98,69100
ALIM,21-Nov-2011,1.26,1.28,1.09,1.28,461900
ALKS,21-Nov-2011,14.78,15.02,14.54,14.89,687000
ALLT,21-Nov-2011,15.06,15.18,14.55,15,319000
ALNY,21-Nov-2011,7.13,7.29,6.97,7.06,165600
ALOG,21-Nov-2011,52.8,53.22,52.47,52.59,49900
ALOT,21-Nov-2011,8.15,8.15,8,8.09,1200
ALRN,21-Nov-2011,1.87,1.88,1.87,1.87,2400
ALSK,21-Nov-2011,5.05,5.38,5.02,5.37,716800
ALTR,21-Nov-2011,34.94,35.49,34.1,35.14,5295300
ALXN,21-Nov-2011,63.33,64.74,62.02,64.41,1179500
AMAG,21-Nov-2011,16.26,16.48,16,16.41,111300
AMAT,21-Nov-2011,11.03,11.1,10.8,10.89,16919700
AMCN,21-Nov-2011,2.84,2.87,2.71,2.75,103300
AMCX,21-Nov-2011,36.48,37.43,35.55,37.12,210700
AMD,21-Nov-2011,5.33,5.48,5.22,5.42,15307200
AMED,21-Nov-2011,11.65,12.06,10.97,11.08,585100
AMGN,21-Nov-2011,55.21,55.46,54.91,54.97,7973700
AMKR,21-Nov-2011,4.52,4.59,4.45,4.49,1401600
AMNB,21-Nov-2011,18.68,18.68,18.15,18.49,17200
AMOT,21-Nov-2011,5.91,5.91,5.56,5.77,5100
AMRB,21-Nov-2011,4.83,4.83,4.83,4.83,100
AMRN,21-Nov-2011,6.59,6.92,6.48,6.73,2388500
AMRS,21-Nov-2011,172.95,175.5,158.85,159.6,210400
AMSC,21-Nov-2011,42.1,42.5,40,40.3,1429500
AMSF,21-Nov-2011,22.22,22.71,22.03,22.18,54600
AMSWA,21-Nov-2011,8.31,8.48,8.11,8.18,49000
AMTD,21-Nov-2011,15.85,15.97,15.63,15.78,3192300
AMWD,21-Nov-2011,12.81,13.26,12.8,12.85,15000
AMZN,21-Nov-2011,193.29,193.36,185.05,189.25,11323500
ANAT,21-Nov-2011,71.5,71.81,70.27,70.38,8000
ANCB,21-Nov-2011,5.91,5.93,5.91,5.91,200
ANCX,21-Nov-2011,8.2,8.36,8.2,8.34,2800
ANDE,21-Nov-2011,26.3733,26.5133,25.7667,26.0133,188700
ANGI,21-Nov-2011,15.15,15.75,14.31,15.4,469500
ANGO,21-Nov-2011,14.03,14.12,13.73,13.73,84900
ANIK,21-Nov-2011,7.95,7.98,7.76,7.9,47300
ANSS,21-Nov-2011,58.31,58.68,57.22,58.61,911300
ANTH,21-Nov-2011,408.32,408.32,379.52,387.2,49300
AOSL,21-Nov-2011,9.52,9.65,8.95,9.18,77200
APEI,21-Nov-2011,35.3,35.9,35,35.85,223000
APOG,21-Nov-2011,10.27,10.46,9.94,10,68100
APRI,21-Nov-2011,44.6,44.9,42.7,42.7,165300
APWC,21-Nov-2011,3.05,3.05,3.05,3.05,0
ARAY,21-Nov-2011,4.05,4.08,3.97,4.02,766100
ARCC,21-Nov-2011,14.97,14.99,14.72,14.85,1770900
ARCI,21-Nov-2011,4.66,4.82,4.47,4.55,26100
ARCW,21-Nov-2011,1.2,1.2,1.2,1.2,1900
AREX,21-Nov-2011,27.55,28.58,26.92,28.45,472300
ARII,21-Nov-2011,22.9,22.97,22.17,22.34,42500
ARKR,21-Nov-2011,14,14.23,14,14.01,1700
ARLP,21-Nov-2011,35.345,35.56,34.285,35.38,73400
ARNA,21-Nov-2011,13.6,13.6,13.2,13.4,908900
AROW,21-Nov-2011,23.03,23.22,22.9,22.97,43300
ARQL,21-Nov-2011,5.38,5.64,5.38,5.45,168900
ARRS,21-Nov-2011,10.68,10.68,10.24,10.24,1309100
ARRY,21-Nov-2011,2.28,2.38,2.28,2.36,265300
ARTNA,21-Nov-2011,17.95,18.06,17.76,17.95,11800
ARTW,21-Nov-2011,5.99,5.99,5.75,5.77,2400
ARTX,21-Nov-2011,1.4,1.45,1.34,1.4,6800
