Symbol,Date,Open,High,Low,Close,Volume
AAME,30-Nov-2011,1.98,1.99,1.82,1.99,9700
AAON,30-Nov-2011,8.9555,9.8445,8.9555,9.7378,128400
AAPL,30-Nov-2011,54.4686,54.6114,54.0429,54.6,14502300
AAWW,30-Nov-2011,38.5,42.27,37.4,42.25,485500
AAXJ,30-Nov-2011,51.89,52.58,51.88,52.47,411400
ABAX,30-Nov-2011,25.87,27.68,25.83,27.67,221200
ABCB,30-Nov-2011,9.86,10.1,9.84,10,135600
ABCD,30-Nov-2011,3.17,3.2,3.06,3.2,63100
ABIO,30-Nov-2011,55.44,62.58,55.44,57.96,344300
ABMD,30-Nov-2011,19.7,20.25,19.56,20.14,517700
ACAD,30-Nov-2011,0.99,1.03,0.97,0.98,184200
ACET,30-Nov-2011,6.83,6.88,6.6,6.85,280500
ACFC,30-Nov-2011,1.19,1.27,1.01,1.01,11000
ACGL,30-Nov-2011,37.2,37.79,36.85,37.77,2337400
ACHC,30-Nov-2011,8.6,8.65,8.25,8.5,4400
ACHN,30-Nov-2011,6.59,6.9,6.31,6.65,1815100
ACIW,30-Nov-2011,9.85,10.09,9.8067,10.0267,381000
ACLS,30-Nov-2011,4.96,5.16,4.8,5.08,604400
ACNB,30-Nov-2011,13.84,14,13.57,13.57,8300
ACOR,30-Nov-2011,22.73,23.17,22.45,23.15,537900
ACRX,30-Nov-2011,2.95,3.02,2.88,2.99,10000
ACTG,30-Nov-2011,33.64,34.85,33.64,34.82,860000
ACWI,30-Nov-2011,42.63,43.1,42.41,43.05,435800
ACWX,30-Nov-2011,37.77,38.19,37.69,38.14,319900
ACXM,30-Nov-2011,12.33,12.46,12.11,12.44,794500
ADBE,30-Nov-2011,26.8,27.43,26.61,27.42,6276000
ADES,30-Nov-2011,9.955,10.375,9.755,10.265,123700
ADI,30-Nov-2011,33.76,34.91,33.65,34.86,4086600
ADP,30-Nov-2011,43.8982,44.9165,43.7226,44.8551,3291000
ADRA,30-Nov-2011,23.49,23.63,23.42,23.63,600
ADRD,30-Nov-2011,19.1,19.18,19,19.18,3200
ADRE,30-Nov-2011,39.73,39.89,39.42,39.89,37500
ADRU,30-Nov-2011,18.86,18.9,18.84,18.86,2800
ADSK,30-Nov-2011,32.46,34.1,32.41,34.07,3789600
ADTN,30-Nov-2011,31.67,33.08,31.52,33.03,970700
ADUS,30-Nov-2011,3.75,3.8,3.58,3.8,11400
AEGN,30-Nov-2011,14.28,15.16,13.84,15.16,638400
AEHR,30-Nov-2011,0.72,0.72,0.58,0.69,8100
AEIS,30-Nov-2011,9.38,9.98,9.26,9.98,534000
AETI,30-Nov-2011,4.11,4.15,3.72,4.15,11100
AEY,30-Nov-2011,1.99,1.99,1.96,1.96,6500
AEZS,30-Nov-2011,1002,1008,960,960,485000
AFAM,30-Nov-2011,13.97,15.01,13.89,14.97,222600
AFSI,30-Nov-2011,13.035,13.275,13.01,13.255,322800
AGEN,30-Nov-2011,2.36,2.47,2.36,2.42,79700
AGII,30-Nov-2011,28.52,29.56,28.48,29.3,281900
AGNC,30-Nov-2011,28.48,28.69,28.29,28.69,4386600
AGYS,30-Nov-2011,7.66,8.15,7.51,8.13,194500
AHGP,30-Nov-2011,51.09,51.12,50.53,50.68,35700
AHPI,30-Nov-2011,3.64,3.64,3.33,3.61,800
AIMC,30-Nov-2011,17.19,17.82,17.19,17.74,469900
AINV,30-Nov-2011,7.13,7.22,7.01,7.21,3757900
AIRT,30-Nov-2011,8.49,8.51,8.39,8.51,4500
AKAM,30-Nov-2011,28.58,29.31,28.43,28.91,4639600
AKRX,30-Nov-2011,10.51,10.85,10.4,10.76,2593500
ALCO,30-Nov-2011,18.73,19,17.94,17.94,121500
ALGN,30-Nov-2011,23.17,24.99,22.95,24.5,1271800
ALGT,30-Nov-2011,51.27,52.12,50.72,52.08,133100
ALIM,30-Nov-2011,1.31,1.34,1.21,1.32,601700
ALKS,30-Nov-2011,14.86,15.32,14.8,15.29,928100
ALLT,30-Nov-2011,16.64,17.42,16.5,16.86,762500
