Symbol,Date,Open,High,Low,Close,Volume
AAME,21-Jan-2011,2.25,2.25,2.2,2.2,600
AAON,21-Jan-2011,8.1481,8.1481,7.8963,7.9141,32900
AAPL,21-Jan-2011,47.6814,47.84,46.6614,46.6743,26942800
AAWW,21-Jan-2011,51.39,51.76,50.2,50.76,228700
AAXJ,21-Jan-2011,63.07,63.13,62.17,62.27,1080500
ABAX,21-Jan-2011,26.78,27,26.52,26.65,109000
ABCB,21-Jan-2011,10.11,10.3,10.01,10.03,45300
ABCD,21-Jan-2011,3.23,3.27,3.1,3.2,43800
ABIO,21-Jan-2011,136.08,137.76,135.24,136.5,22400
ABMD,21-Jan-2011,9.52,9.78,9.42,9.76,296300
ACAD,21-Jan-2011,1.63,1.69,1.6,1.67,699300
ACET,21-Jan-2011,8.82,9.18,8.75,8.82,161200
ACFC,21-Jan-2011,1.81,2.19,1.81,2.02,70700
ACGL,21-Jan-2011,29.3533,29.3767,29.2533,29.3633,172700
ACHN,21-Jan-2011,4.27,4.65,4.25,4.31,175800
ACIW,21-Jan-2011,8.51,8.5367,8.3367,8.3467,126300
ACLS,21-Jan-2011,13,13.52,12.8,12.84,980900
ACMR,21-Jan-2011,2.36,2.43,2.36,2.4,46300
ACNB,21-Jan-2011,15.75,16.5,15.32,15.32,23800
ACOR,21-Jan-2011,23.9,24.38,22.75,23.97,8523600
ACTG,21-Jan-2011,28.07,28.19,27.1,27.14,213000
ACWI,21-Jan-2011,47.4,47.56,47.25,47.34,209500
ACWX,21-Jan-2011,44.45,44.6,44.26,44.27,93400
ACXM,21-Jan-2011,18.12,18.26,17.91,17.93,291500
ADBE,21-Jan-2011,33.79,33.92,33.19,33.27,5715100
ADES,21-Jan-2011,6.26,6.555,5.9,5.9,36400
ADI,21-Jan-2011,39.26,39.44,38.62,38.77,3637500
ADP,21-Jan-2011,43.1958,43.2398,42.8447,43.0554,2178500
ADRA,21-Jan-2011,28.6,28.6,28.37,28.4,6800
ADRD,21-Jan-2011,22.13,22.21,22.13,22.19,1900
ADRE,21-Jan-2011,47.67,47.7,47,47.09,44500
ADRU,21-Jan-2011,21.67,21.74,21.67,21.69,1100
ADSK,21-Jan-2011,41.4,42.09,41.26,41.5,2860700
ADTN,21-Jan-2011,41.61,41.65,40.88,41.32,1738100
ADUS,21-Jan-2011,4.36,4.48,4.34,4.44,46700
AEHR,21-Jan-2011,1.36,1.39,1.26,1.36,63600
AEIS,21-Jan-2011,14.66,14.84,14.34,14.35,309800
AETI,21-Jan-2011,2.24,2.36,2.24,2.35,2200
AEY,21-Jan-2011,3.02,3.02,2.96,2.96,10800
AEZS,21-Jan-2011,936,960,930,930,835800
AFAM,21-Jan-2011,36.78,37.08,34.55,34.82,208700
AFSI,21-Jan-2011,9.02,9.085,8.95,8.96,230300
AGEN,21-Jan-2011,0.94,0.95,0.93,0.94,208700
AGII,21-Jan-2011,36.35,36.38,35.96,36.14,98600
AGNC,21-Jan-2011,28.65,28.76,28.45,28.45,2482900
AGYS,21-Jan-2011,5.71,5.8,5.33,5.33,135200
AHGP,21-Jan-2011,47.38,48.15,47.05,47.14,41700
AHPI,21-Jan-2011,4.31,4.33,4.31,4.33,1600
AIMC,21-Jan-2011,20.08,20.08,19.43,19.65,166500
AINV,21-Jan-2011,11.43,11.82,11.43,11.72,3722000
AIRT,21-Jan-2011,10.48,10.48,10.3,10.33,4100
AKAM,21-Jan-2011,50.66,51.08,48.79,48.93,3797100
AKRX,21-Jan-2011,5.44,5.5,5.23,5.25,676700
ALCO,21-Jan-2011,24.94,25.17,24.8,24.81,12200
ALGN,21-Jan-2011,20.37,20.37,19.87,19.87,801200
ALGT,21-Jan-2011,47.48,47.97,47.04,47.91,127200
ALIM,21-Jan-2011,9.25,9.25,8.85,9,75200
ALKS,21-Jan-2011,12.81,12.86,12.4,12.55,980200
ALLT,21-Jan-2011,12.58,12.9,12.41,12.47,98800
ALNY,21-Jan-2011,10.36,10.62,10.33,10.6,330300
ALOG,21-Jan-2011,51.35,51.79,51.03,51.34,56600
ALOT,21-Jan-2011,7.81,7.87,7.59,7.87,4700
ALRN,21-Jan-2011,1.71,2,1.65,2,5000
ALSK,21-Jan-2011,9.26,9.3,9.04,9.04,623000
ALTR,21-Jan-2011,38.15,38.15,37.07,37.13,6980200
ALXN,21-Jan-2011,42.775,42.96,42.135,42.215,458400
AMAG,21-Jan-2011,17.2,17.42,16.79,17.28,623100
AMAT,21-Jan-2011,15.17,15.19,14.97,15.01,12815900
AMCN,21-Jan-2011,7.18,7.35,7.09,7.13,191700
AMD,21-Jan-2011,8.14,8.15,7.51,7.54,64327100
AMED,21-Jan-2011,31.23,31.45,31.06,31.38,367200
AMGN,21-Jan-2011,57.41,57.41,56.74,56.97,6032800
AMKR,21-Jan-2011,7.84,7.89,7.58,7.58,1192400
AMNB,21-Jan-2011,21.36,21.36,20.15,20.18,11800
AMOT,21-Jan-2011,8,8,7.8,7.91,16300
AMRB,21-Jan-2011,6.65,6.75,6.64,6.74,4900
AMRN,21-Jan-2011,8.3,9,8.25,8.87,3328200
AMRS,21-Jan-2011,476.55,506.85,475.05,492.15,221200
AMSC,21-Jan-2011,279.6,284.2,271.9,273,1076400
AMSF,21-Jan-2011,18.1,18.16,17.93,17.94,98700
AMSWA,21-Jan-2011,6.41,6.5,6.31,6.31,47400
AMTD,21-Jan-2011,20.59,20.6,20.26,20.3,4014500
AMWD,21-Jan-2011,20.81,22.75,20.2,20.74,40500
AMZN,21-Jan-2011,183,183.25,176.84,177.42,6812200
ANAT,21-Jan-2011,86.68,86.92,84.51,85.11,20200
ANCX,21-Jan-2011,6.7,6.7,6.7,6.7,300
ANDE,21-Jan-2011,26.1467,26.22,25.1133,25.2733,247600
ANGO,21-Jan-2011,16.58,16.67,16.27,16.29,63100
ANIK,21-Jan-2011,6.95,7.04,6.9,7,19700
ANSS,21-Jan-2011,52.55,53.66,52.49,52.51,583700
ANTH,21-Jan-2011,273.92,319.36,273.92,281.6,103600
AOSL,21-Jan-2011,14.08,14.25,13.75,13.94,93800
APEI,21-Jan-2011,35.74,35.79,35.06,35.06,64500
APOG,21-Jan-2011,13.67,13.95,13.59,13.8,298900
APRI,21-Jan-2011,38.3,39.8,36.9,39.1,490800
ARAY,21-Jan-2011,6.8,6.88,6.75,6.75,177300
ARCC,21-Jan-2011,16.25,16.36,16.13,16.2,2211500
ARCI,21-Jan-2011,3.25,3.25,3.25,3.25,300
ARCW,21-Jan-2011,1.2,1.2,1.2,1.2,400
AREX,21-Jan-2011,24.49,25.68,24.06,24.66,528500
ARII,21-Jan-2011,19.81,19.81,19.26,19.43,49100
ARKR,21-Jan-2011,14.62,14.84,14.4,14.6,3300
ARLP,21-Jan-2011,32.335,32.935,32.335,32.48,135900
ARNA,21-Jan-2011,20.4,20.5,19,19,3794200
AROW,21-Jan-2011,25.33,25.45,24.85,24.85,34900
ARQL,21-Jan-2011,6.81,6.99,6.76,6.86,373300
ARRS,21-Jan-2011,12.28,12.28,11.94,12.01,933000
ARRY,21-Jan-2011,3.14,3.15,2.96,2.96,309300
ARTNA,21-Jan-2011,19.38,19.62,19.28,19.29,14900
