Symbol,Date,Open,High,Low,Close,Volume
AAME,28-Feb-2011,2.04,2.04,2.03,2.04,1400
AAON,28-Feb-2011,9.3215,9.3393,9.0015,9.0963,57400
AAPL,28-Feb-2011,50.1729,50.7214,50.16,50.4586,14395400
AAWW,28-Feb-2011,68.34,68.35,67.25,68.28,284200
AAXJ,28-Feb-2011,60.19,60.27,59.83,60.13,356600
ABAX,28-Feb-2011,26.4,26.64,26.07,26.52,134800
ABCB,28-Feb-2011,10.2,10.28,10,10.09,40700
ABCD,28-Feb-2011,3.68,3.71,3.55,3.58,27200
ABIO,28-Feb-2011,125.16,131.88,125.16,129.78,25200
ABMD,28-Feb-2011,13.01,13.09,12.4,12.47,103500
ACAD,28-Feb-2011,1.56,1.58,1.46,1.51,199100
ACET,28-Feb-2011,8.07,8.09,7.8,7.93,114200
ACGL,28-Feb-2011,30.1667,30.26,29.89,30.1667,433800
ACHN,28-Feb-2011,6,6.2,5.62,5.81,190000
ACIW,28-Feb-2011,10.26,10.4367,10.18,10.4367,321700
ACLS,28-Feb-2011,11.28,11.44,11,11,1418200
ACMR,28-Feb-2011,3.2,3.25,3.15,3.2,58500
ACNB,28-Feb-2011,15.51,15.51,15.3,15.5,3300
ACOR,28-Feb-2011,20.93,21.06,20.46,20.97,1462000
ACRX,28-Feb-2011,3.73,3.94,3.6,3.62,37600
ACTG,28-Feb-2011,28.8,29.41,27.97,29.32,419500
ACWI,28-Feb-2011,48.79,48.93,48.6,48.78,731000
ACWX,28-Feb-2011,45.74,45.85,45.46,45.72,245500
ACXM,28-Feb-2011,17.22,17.3,16.9,17.14,283800
ADBE,28-Feb-2011,34.72,35,34.16,34.5,4936800
ADES,28-Feb-2011,7.385,7.5,7.23,7.27,14700
ADI,28-Feb-2011,40.14,40.32,39.34,39.88,2184700
ADP,28-Feb-2011,43.6612,43.9246,43.4328,43.8982,2625400
ADRA,28-Feb-2011,29.33,29.34,29.12,29.21,4400
ADRD,28-Feb-2011,23.2,23.22,23.08,23.11,12800
ADRE,28-Feb-2011,46.69,46.85,46.57,46.83,30400
ADRU,28-Feb-2011,22.54,22.54,22.44,22.48,1800
ADSK,28-Feb-2011,42.62,42.76,41.63,42.05,3268800
ADTN,28-Feb-2011,46.11,46.68,45.06,45.48,1518600
ADUS,28-Feb-2011,4.49,4.51,4.4,4.49,17300
AEHR,28-Feb-2011,1.83,1.85,1.72,1.79,36300
AEIS,28-Feb-2011,16.05,16.18,15.88,16.12,707900
AETI,28-Feb-2011,2.6,2.65,2.59,2.65,6000
AEY,28-Feb-2011,3.17,3.18,3.15,3.16,13300
AEZS,28-Feb-2011,1104,1128,1092,1092,2371000
AFAM,28-Feb-2011,39.25,39.5,38.39,39,157600
AFSI,28-Feb-2011,9.625,9.68,9.525,9.615,111300
AGEN,28-Feb-2011,0.93,0.95,0.91,0.91,209500
AGII,28-Feb-2011,38.23,38.56,37.96,38.09,87700
AGNC,28-Feb-2011,29.5,29.51,29.35,29.45,2347900
AGYS,28-Feb-2011,5.61,5.65,5,5.02,378900
AHGP,28-Feb-2011,55.9,56.49,54.37,55.14,45600
AHPI,28-Feb-2011,4.8,5.01,4.64,4.71,1700
AIMC,28-Feb-2011,22.37,22.71,21.29,21.63,143700
AINV,28-Feb-2011,12.4,12.46,12.31,12.37,1442700
AIRT,28-Feb-2011,9.58,9.6,9.55,9.55,2300
AKAM,28-Feb-2011,39.78,40.1,37.17,37.53,15014900
AKRX,28-Feb-2011,5.49,5.59,5.41,5.59,497100
ALCO,28-Feb-2011,25.71,26.68,25.71,26.51,10600
ALGN,28-Feb-2011,20.35,21.15,20.15,20.85,1181200
ALGT,28-Feb-2011,41.46,41.46,40.91,41.27,223300
ALIM,28-Feb-2011,8,8,7.66,7.98,49600
ALKS,28-Feb-2011,14.29,14.62,14.11,14.33,544100
ALLT,28-Feb-2011,14.99,16.14,14.92,15.94,748900
ALNY,28-Feb-2011,11.46,11.51,10.92,10.98,257300
ALOG,28-Feb-2011,54.5,54.69,53.81,54.2,28800
ALOT,28-Feb-2011,7.85,7.85,7.51,7.51,1200
ALRN,28-Feb-2011,2.53,2.79,2.53,2.79,7300
