Symbol,Date,Open,High,Low,Close,Volume
AAME,28-Jul-2011,2.05,2.05,1.9,2.04,6500
AAON,28-Jul-2011,9.7645,10.5333,9.48,9.8089,45000
AAPL,28-Jul-2011,55.9457,56.7129,55.4471,55.9743,21214800
AAWW,28-Jul-2011,55.24,55.67,53.76,53.87,289000
AAXJ,28-Jul-2011,62.83,62.88,62.29,62.4,115700
ABAX,28-Jul-2011,27.59,29.06,27.49,27.73,186500
ABCB,28-Jul-2011,10.06,10.16,10.01,10.08,51200
ABCD,28-Jul-2011,3.17,3.26,3.17,3.25,12500
ABIO,28-Jul-2011,63.42,63.42,60.9,61.74,35500
ABMD,28-Jul-2011,16.11,16.57,15.95,16.51,194400
ACAD,28-Jul-2011,1.56,1.69,1.55,1.62,325500
ACET,28-Jul-2011,6.11,6.2,6.03,6.12,69100
ACFC,28-Jul-2011,6.03,6.03,5.67,5.67,300
ACGL,28-Jul-2011,34.05,34.25,33.77,33.83,554200
ACHN,28-Jul-2011,7.51,7.74,7.32,7.51,672200
ACIW,28-Jul-2011,12.24,12.28,12.06,12.15,318600
ACLS,28-Jul-2011,6.88,7.12,6.68,6.88,1036400
ACMR,28-Jul-2011,1.84,1.9,1.84,1.85,61000
ACNB,28-Jul-2011,15.53,15.53,15.34,15.34,600
ACOR,28-Jul-2011,27.77,28.7,27.77,28.27,487400
ACRX,28-Jul-2011,3.93,4.17,3.93,3.99,6700
ACTG,28-Jul-2011,42.71,43.54,42.38,43.46,318800
ACWI,28-Jul-2011,47.52,47.74,47.18,47.28,2529900
ACWX,28-Jul-2011,44.03,44.24,43.78,43.8,90100
ACXM,28-Jul-2011,13.93,14.37,13.86,13.93,987400
ADBE,28-Jul-2011,28.43,28.66,28,28.02,9289400
ADES,28-Jul-2011,9.105,9.32,9.07,9.195,15400
ADI,28-Jul-2011,34.8,35.2,34.43,34.69,4093200
ADP,28-Jul-2011,45.7243,45.9877,45.1799,45.4609,2527600
ADRA,28-Jul-2011,27.75,27.78,27.62,27.62,1700
ADRD,28-Jul-2011,21.76,21.91,21.69,21.75,4600
ADRE,28-Jul-2011,45.68,45.97,45.53,45.56,52900
ADRU,28-Jul-2011,21.34,21.34,21.34,21.34,0
ADSK,28-Jul-2011,34.81,35.11,34.29,34.34,3121100
