Symbol,Date,Open,High,Low,Close,Volume
AAME,30-Aug-2010,1.22,1.22,1.22,1.22,600
AAON,30-Aug-2010,6.56,6.5926,6.477,6.477,45300
AAPL,30-Aug-2010,34.3943,35.1071,34.3829,34.6429,13688800
AAWW,30-Aug-2010,45.09,45.33,43.75,43.8,284100
AAXJ,30-Aug-2010,54.97,55.01,54.5,54.55,299100
ABAX,30-Aug-2010,18.74,18.75,18.14,18.16,44000
ABCB,30-Aug-2010,8.32,8.32,7.93,7.94,58800
ABCD,30-Aug-2010,3.01,3.01,2.9,2.9,21800
ABIO,30-Aug-2010,144.06,144.9,139.02,141.96,32100
ABMD,30-Aug-2010,9.08,9.24,9,9.02,240400
ACAD,30-Aug-2010,1.03,1.04,1.01,1.01,75700
ACET,30-Aug-2010,5.63,5.69,5.49,5.6,99700
ACFC,30-Aug-2010,2.4,2.4,2.4,2.4,200
ACGL,30-Aug-2010,26.4933,26.5833,26.4033,26.4867,315100
ACHN,30-Aug-2010,2.58,2.64,2.58,2.6,57800
ACIW,30-Aug-2010,6.73,6.73,6.4133,6.4167,101500
ACLS,30-Aug-2010,5.8,5.88,5.68,5.72,275600
ACMR,30-Aug-2010,1.79,1.85,1.78,1.78,15900
ACOR,30-Aug-2010,30.09,30.17,29.52,29.57,368300
ACTG,30-Aug-2010,15.74,15.78,15.21,15.23,178100
ACWI,30-Aug-2010,39.75,39.78,39.25,39.27,455500
ACWX,30-Aug-2010,37.86,37.92,37.54,37.62,34900
ACXM,30-Aug-2010,12.8,12.94,12.7,12.75,589000
ADBE,30-Aug-2010,27.79,28.1,27.63,27.79,4870200
ADES,30-Aug-2010,2.525,2.525,2.435,2.48,21100
ADI,30-Aug-2010,29.12,29.12,28.38,28.38,4537200
ADP,30-Aug-2010,34.4689,34.5653,34.0912,34.0912,2752800
ADRA,30-Aug-2010,24.01,24.12,23.91,23.91,10600
ADRD,30-Aug-2010,18.9,18.9,18.79,18.79,5700
ADRE,30-Aug-2010,41.03,41.13,40.5,40.53,372100
ADRU,30-Aug-2010,18.69,18.69,18.58,18.59,1300
ADSK,30-Aug-2010,28.33,28.44,27.52,27.53,2156200
ADTN,30-Aug-2010,31.5,32.09,30.96,31.09,1177400
ADUS,30-Aug-2010,5.08,5.12,4.77,5.01,5700
AEHR,30-Aug-2010,1.21,1.3,1.21,1.22,11500
AEIS,30-Aug-2010,15.25,15.68,14.57,14.69,455300
AETI,30-Aug-2010,2.2,2.2,2.18,2.19,1000
AEY,30-Aug-2010,2.83,2.97,2.77,2.97,9100
AEZS,30-Aug-2010,594,606,576,576,401900
AFAM,30-Aug-2010,25.94,25.94,25.18,25.55,80900
AFSI,30-Aug-2010,6.875,6.905,6.745,6.75,199100
AGEN,30-Aug-2010,0.82,0.82,0.78,0.78,255600
AGII,30-Aug-2010,30.67,30.67,30,30.2,114900
AGNC,30-Aug-2010,27.29,27.43,27.13,27.13,570400
AGYS,30-Aug-2010,4.5,4.66,4.41,4.43,163600
AHGP,30-Aug-2010,39.69,40.44,38,38.3,123600
AHPI,30-Aug-2010,3.28,3.47,3.25,3.47,28900
AIMC,30-Aug-2010,13.16,13.28,12.58,12.59,106100
AINV,30-Aug-2010,9.54,9.64,9.36,9.37,1176400
AIRT,30-Aug-2010,8.91,9.02,8.91,9.01,6500
AKAM,30-Aug-2010,47.08,47.2,46.17,46.19,3042300
AKRX,30-Aug-2010,3.36,3.43,3.29,3.35,403300
ALCO,30-Aug-2010,21.05,21.44,20.55,20.59,8300
ALGN,30-Aug-2010,16.2,16.35,15.8,15.8,325400
ALGT,30-Aug-2010,38.95,39.56,38.31,38.32,111700
ALIM,30-Aug-2010,8.2,8.2,8.1,8.1,33000
ALKS,30-Aug-2010,13.69,13.75,13.45,13.46,402100
ALLT,30-Aug-2010,5.03,5.2,5.03,5.07,33400
ALNY,30-Aug-2010,14.72,14.86,14.14,14.14,136200
ALOG,30-Aug-2010,41.82,42.8,41.31,41.43,85500
ALOT,30-Aug-2010,6.87,6.87,6.87,6.87,0
ALRN,30-Aug-2010,0.92,0.92,0.92,0.92,0
ALSK,30-Aug-2010,9.57,9.57,9.42,9.42,308900
ALTR,30-Aug-2010,25.39,25.41,24.76,24.76,5378400
ALXN,30-Aug-2010,28.765,29.03,28.415,28.57,348700
