Symbol,Date,Open,High,Low,Close,Volume
AAME,13-Oct-2010,1.66,1.66,1.66,1.66,5300
AAON,13-Oct-2010,7.2681,7.4193,7.2355,7.3778,38800
AAPL,13-Oct-2010,42.8857,43.1371,42.8286,42.8771,22503200
AAWW,13-Oct-2010,54.04,55.57,53.72,55.08,203600
AAXJ,13-Oct-2010,63.07,63.51,62.99,63.18,894800
ABAX,13-Oct-2010,23.8,24.4,23.7,24.16,51200
ABCB,13-Oct-2010,9.65,9.88,9.41,9.57,53000
ABCD,13-Oct-2010,3.06,3.29,3.03,3.23,37600
ABIO,13-Oct-2010,170.52,171.78,164.22,171.78,82200
ABMD,13-Oct-2010,10.77,10.94,10.62,10.89,132900
ACAD,13-Oct-2010,0.9,0.9,0.88,0.9,118000
ACET,13-Oct-2010,7.51,7.56,7.4,7.47,228500
ACFC,13-Oct-2010,1.53,1.55,1.35,1.35,20100
ACGL,13-Oct-2010,27.68,28.2067,27.68,28.1533,398900
ACHN,13-Oct-2010,2.89,2.98,2.88,2.94,56400
ACIW,13-Oct-2010,7.7567,7.9,7.6933,7.8167,79500
ACLS,13-Oct-2010,7.84,8.16,7.68,7.92,956900
ACMR,13-Oct-2010,2.3,2.33,2.15,2.25,43700
ACOR,13-Oct-2010,30.37,30.37,27.85,28.4,2912100
ACTG,13-Oct-2010,21.91,22.69,21.66,22.54,271000
ACWI,13-Oct-2010,44.99,45.23,44.78,45.06,309600
ACWX,13-Oct-2010,43.04,43.41,43.02,43.22,25700
ACXM,13-Oct-2010,17.1,17.7,17,17.61,750800
ADBE,13-Oct-2010,27.78,28,27.53,27.71,9442800
ADES,13-Oct-2010,2.565,2.715,2.535,2.71,68500
ADI,13-Oct-2010,31.69,32.01,31.37,31.42,8798200
ADP,13-Oct-2010,37.1291,37.4802,36.9095,37.2782,1796800
ADRA,13-Oct-2010,26.51,26.85,26.51,26.78,6400
ADRD,13-Oct-2010,21.31,21.49,21.31,21.44,600
ADRE,13-Oct-2010,46.69,47.17,46.65,47.03,56300
ADRU,13-Oct-2010,21.13,21.34,21.13,21.25,1800
ADSK,13-Oct-2010,32.91,33.63,32.85,33.46,4922500
ADTN,13-Oct-2010,36.14,36.51,32.51,33.37,7636400
ADUS,13-Oct-2010,3.82,3.82,3.55,3.67,81600
AEHR,13-Oct-2010,1.22,1.3,1.2,1.2,11900
AEIS,13-Oct-2010,13.77,14.35,13.77,14.14,871400
AETI,13-Oct-2010,2.3,2.31,2.27,2.31,8800
AEY,13-Oct-2010,3.1,3.15,3.1,3.14,31900
AEZS,13-Oct-2010,792,822,768,780,3649900
AFAM,13-Oct-2010,31.3,31.8,30.8,31.51,78600
