Symbol,Date,Open,High,Low,Close,Volume
AAME,29-Jun-2010,1.39,1.39,1.35,1.35,6500
AAON,29-Jun-2010,6.9541,7.1022,6.8948,6.9422,65100
AAPL,29-Jun-2010,37.7314,37.77,36.3286,36.5957,40476500
AAWW,29-Jun-2010,50.14,50.69,47.95,48.4,400300
AAXJ,29-Jun-2010,52.81,52.95,52.04,52.2,835700
ABAX,29-Jun-2010,21.58,22.15,21.41,21.62,205000
ABCB,29-Jun-2010,10,10.02,9.53,9.6,230000
ABCD,29-Jun-2010,3.95,3.95,3.5,3.53,144700
ABIO,29-Jun-2010,160.86,160.86,147,149.1,201100
ABMD,29-Jun-2010,9.65,9.71,9.57,9.63,170500
ACAD,29-Jun-2010,1.19,1.2,1.13,1.13,380200
ACET,29-Jun-2010,6.22,6.22,5.85,5.91,184000
ACFC,29-Jun-2010,2.94,2.94,2.94,2.94,0
ACGL,29-Jun-2010,25.22,25.3233,24.9233,25.04,411000
ACHN,29-Jun-2010,2.27,2.34,2.18,2.21,60500
ACIW,29-Jun-2010,6.5933,6.5933,6.4133,6.46,128600
ACLS,29-Jun-2010,6.72,6.8,6.36,6.44,823000
ACMR,29-Jun-2010,2.3,2.33,2.2,2.23,46000
ACOR,29-Jun-2010,31.67,31.79,30.73,30.95,294900
ACTG,29-Jun-2010,15.3,15.3,14.32,14.54,354700
ACWI,29-Jun-2010,38.51,38.6,37.75,37.97,1763400
ACWX,29-Jun-2010,36.08,36.08,35.22,35.46,72200
ACXM,29-Jun-2010,15.03,15.2,14.51,14.64,628700
ADBE,29-Jun-2010,28.37,28.37,26.76,26.9,22063600
ADES,29-Jun-2010,2.71,2.81,2.55,2.6,12200
ADI,29-Jun-2010,28.74,28.76,27.95,28.24,4053200
ADP,29-Jun-2010,35.5488,35.8823,35.2327,35.4608,8315100
ADRA,29-Jun-2010,23.12,23.12,22.79,22.79,2800
ADRD,29-Jun-2010,17.61,17.63,17.35,17.43,15500
ADRE,29-Jun-2010,40,40.19,39.17,39.33,149100
ADRU,29-Jun-2010,17.35,17.35,17.12,17.16,7200
ADSK,29-Jun-2010,25.66,25.71,24.3,24.58,6242600
ADTN,29-Jun-2010,27.61,27.88,27.2,27.37,989100
ADUS,29-Jun-2010,6,6.01,6,6,10600
AEHR,29-Jun-2010,2.03,2.04,1.94,1.95,8300
AEIS,29-Jun-2010,13.4,13.47,12.65,12.84,430800
AETI,29-Jun-2010,2.01,2.09,1.91,2.09,1000
AEY,29-Jun-2010,2.98,2.98,2.85,2.85,8200
AEZS,29-Jun-2010,750,750,684,702,2116800
AFAM,29-Jun-2010,36.3,36.39,35.6,35.75,78800
AFSI,29-Jun-2010,6.34,6.375,6.15,6.19,142300
AGEN,29-Jun-2010,0.85,0.88,0.84,0.84,290900
AGII,29-Jun-2010,31.29,31.94,30.92,31.09,136400
AGNC,29-Jun-2010,26.67,26.85,26.5,26.59,895900
AGYS,29-Jun-2010,6.99,7.12,6.81,6.92,152800
AHGP,29-Jun-2010,34.97,35.51,34.11,35.05,67200
AHPI,29-Jun-2010,3.64,3.64,3.64,3.64,0
AIMC,29-Jun-2010,12.54,12.93,12.54,12.82,433300
AINV,29-Jun-2010,9.93,9.97,9.46,9.52,2264300
AIRT,29-Jun-2010,10.53,10.75,10.5,10.62,3600
AKAM,29-Jun-2010,43.79,43.79,40.72,41.04,8389500
AKRX,29-Jun-2010,3.14,3.14,2.85,2.87,447400
ALCO,29-Jun-2010,23.52,23.54,23.02,23.06,9900
ALGN,29-Jun-2010,14.78,14.97,14.01,14.91,1107600
ALGT,29-Jun-2010,42.43,43.29,42.04,42.22,271100
ALIM,29-Jun-2010,8.25,8.73,7.54,7.63,60400
ALKS,29-Jun-2010,12.79,12.79,12.44,12.56,722800
ALLT,29-Jun-2010,4.59,4.59,4.3,4.41,58900
ALNY,29-Jun-2010,15.5,15.75,15.13,15.25,386500
ALOG,29-Jun-2010,46.01,46.65,45.98,46.22,57600
ALOT,29-Jun-2010,7.1,7.19,7.02,7.18,3700
ALRN,29-Jun-2010,0.82,0.82,0.77,0.77,7600
ALSK,29-Jun-2010,8.8,8.88,8.5,8.5,608100
ALTR,29-Jun-2010,25.24,25.29,24.76,24.96,8540000
ALXN,29-Jun-2010,26.745,26.77,26.14,26.235,566900
AMAG,29-Jun-2010,35.15,35.53,34.9,35.4,214700
AMAT,29-Jun-2010,12.65,12.65,12.25,12.32,29442400
AMCN,29-Jun-2010,3.4,3.44,3.22,3.3,179200
AMD,29-Jun-2010,7.93,7.93,7.41,7.48,43871400
AMED,29-Jun-2010,44.23,45.24,43.47,44.64,434500
AMGN,29-Jun-2010,54.83,54.96,53.83,54.12,8307200
AMKR,29-Jun-2010,6,6.01,5.67,5.71,4705100
AMNB,29-Jun-2010,21.77,22.07,21.5,21.64,17100
AMOT,29-Jun-2010,4.46,4.51,4.24,4.24,13400
AMPH,29-Jun-2010,24.62,25.02,24.28,24.31,12600
AMRB,29-Jun-2010,7.3,7.4,7.25,7.4,10100
AMRN,29-Jun-2010,2.2,2.3,2.14,2.22,331500
AMSC,29-Jun-2010,280,280.1,267.5,270.8,703900
AMSF,29-Jun-2010,18.09,18.34,17.8,17.95,92100
AMSWA,29-Jun-2010,4.72,4.84,4.7,4.7,119100
AMTD,29-Jun-2010,16.14,16.18,15.18,15.27,9501000
AMWD,29-Jun-2010,18.81,18.81,17.74,17.9,25800
AMZN,29-Jun-2010,116.26,116.48,106.01,108.61,12866200
ANAT,29-Jun-2010,85.6,85.6,82.12,82.32,47000
ANCX,29-Jun-2010,5.57,5.98,5.56,5.89,1700
ANDE,29-Jun-2010,22.8667,23.04,21.6867,21.9133,122400
ANGO,29-Jun-2010,14.81,14.92,14.44,14.5,151500
ANIK,29-Jun-2010,6.55,6.55,6.12,6.2,16800
ANSS,29-Jun-2010,43.04,43.1,40.99,41.22,553500
ANTH,29-Jun-2010,400.64,400.64,329.6,352,38300
AOSL,29-Jun-2010,14.03,14.03,13.8,13.91,41900
APEI,29-Jun-2010,44.83,44.87,43.79,44.41,139600
APOG,29-Jun-2010,11.25,11.35,10.98,11.12,403400
ARAY,29-Jun-2010,6.85,6.93,6.39,6.5,572100
ARCC,29-Jun-2010,12.92,12.99,12.4,12.53,2163100
ARCI,29-Jun-2010,2.9,2.91,2.75,2.82,4700
ARCW,29-Jun-2010,1.108,1.112,1.108,1.112,700
AREX,29-Jun-2010,7.34,7.45,7.02,7.14,67100
ARII,29-Jun-2010,13.15,13.38,12.4,12.47,105800
ARKR,29-Jun-2010,13.3,13.55,13.3,13.43,1200
ARLP,29-Jun-2010,23.285,23.5,22.645,22.99,81400
ARNA,29-Jun-2010,32.5,32.8,31.4,32.1,2593300
AROW,29-Jun-2010,24.19,24.19,23.24,23.51,127100
ARQL,29-Jun-2010,4.67,4.72,4.32,4.37,398900
ARRS,29-Jun-2010,10.36,10.49,10.11,10.21,1725400
ARRY,29-Jun-2010,3.33,3.36,3.13,3.2,284300
