Symbol,Date,Open,High,Low,Close,Volume
AAME,26-May-2010,1.5,1.5,1.5,1.5,3000
AAON,26-May-2010,6.9481,7.0222,6.8593,6.8978,83900
AAPL,26-May-2010,35.7257,36.0186,34.8214,34.8729,30380500
AAWW,26-May-2010,49.02,50.6,48.13,49.62,555700
AAXJ,26-May-2010,51.23,51.42,50.3,50.43,393100
ABAX,26-May-2010,22.34,22.89,21.94,21.97,101700
ABCB,26-May-2010,10.57,10.8,10.46,10.51,102100
ABCD,26-May-2010,5,5,4.53,4.61,179200
ABIO,26-May-2010,170.1,175.14,165.48,165.48,250000
ABMD,26-May-2010,9.55,9.87,9.41,9.49,412000
ACAD,26-May-2010,1.35,1.35,1.27,1.27,386000
ACET,26-May-2010,6.22,6.35,6.19,6.25,142300
ACFC,26-May-2010,2.66,2.77,2.5,2.5,4300
ACGL,26-May-2010,24.4767,24.5367,24.1367,24.15,935000
ACHN,26-May-2010,2.3,2.33,2.2,2.28,78000
ACIW,26-May-2010,6.1467,6.2667,6.0733,6.1767,251400
ACLS,26-May-2010,7.28,7.6,7.04,7.08,761000
ACMR,26-May-2010,2.64,2.69,2.54,2.57,212000
ACOR,26-May-2010,33.68,34.42,32.92,33.05,335500
ACTG,26-May-2010,14.68,15.26,14.53,14.6,199800
ACWI,26-May-2010,38.89,39.13,38.13,38.23,441800
ACWX,26-May-2010,35.81,36.02,35.18,35.24,118500
ACXM,26-May-2010,15.98,16.46,15.84,16.01,1258500
ADBE,26-May-2010,31.65,31.72,30.8,30.94,8820500
ADES,26-May-2010,3,3.125,3,3.055,16800
ADI,26-May-2010,28.85,28.98,28.43,28.48,6733300
ADP,26-May-2010,35.3118,35.7682,34.9167,35.0394,3997400
ADRA,26-May-2010,23.37,23.59,23.17,23.17,3900
ADRD,26-May-2010,17.81,18.04,17.6,17.63,16400
ADRE,26-May-2010,38.35,39.2,38.04,38.2,246400
ADRU,26-May-2010,17.42,17.47,17.05,17.18,8400
ADSK,26-May-2010,29.31,29.57,28.49,28.66,3938700
ADTN,26-May-2010,27.05,27.74,26.8,27.04,990200
ADUS,26-May-2010,6.03,6.23,6.03,6.23,21300
AEHR,26-May-2010,2.48,2.49,2.45,2.48,4600
AEIS,26-May-2010,11.56,12.3,11.52,11.89,774000
AETI,26-May-2010,2.1,2.11,2.05,2.05,15800
