Symbol,Date,Open,High,Low,Close,Volume
AAME,05-Oct-2010,1.63,1.75,1.63,1.75,8100
AAON,05-Oct-2010,6.9363,7.2593,6.9126,7.2297,35800
AAPL,05-Oct-2010,40.2857,41.35,40.26,41.2771,17927300
AAWW,05-Oct-2010,50.13,51.61,49.91,51.51,481300
AAXJ,05-Oct-2010,61.94,62.62,61.92,62.47,1318300
ABAX,05-Oct-2010,22.96,23.57,22.79,23.26,165500
ABCB,05-Oct-2010,9.6,9.84,9.38,9.8,55300
ABCD,05-Oct-2010,3.11,3.17,3.1,3.1,37200
ABIO,05-Oct-2010,158.34,161.28,157.08,160.44,81400
ABMD,05-Oct-2010,10.87,11.28,10.83,11.12,385800
ACAD,05-Oct-2010,0.92,0.93,0.9,0.91,169100
ACET,05-Oct-2010,6.86,6.99,6.72,6.98,194500
ACFC,05-Oct-2010,1.94,1.94,1.75,1.93,4900
ACGL,05-Oct-2010,27.9533,27.9633,27.5933,27.92,193300
ACHN,05-Oct-2010,3,3.05,2.99,3.05,49300
ACIW,05-Oct-2010,7.52,7.61,7.4833,7.5833,141500
ACLS,05-Oct-2010,7.44,7.68,7.36,7.56,436100
ACMR,05-Oct-2010,2.31,2.34,2.25,2.25,6500
ACOR,05-Oct-2010,31.53,31.89,31.01,31.13,1076800
ACTG,05-Oct-2010,20.84,22.19,20.84,21.43,575000
ACWI,05-Oct-2010,43.52,44.19,43.52,44.19,538400
ACWX,05-Oct-2010,41.91,42.46,41.89,42.37,54400
ACXM,05-Oct-2010,15.84,16.34,15.7,16.28,527700
ADBE,05-Oct-2010,25.79,26,25.66,25.77,14813900
ADES,05-Oct-2010,2.745,2.745,2.565,2.605,18300
ADI,05-Oct-2010,31.35,32.01,31.13,32.01,4238500
ADP,05-Oct-2010,36.9622,37.1729,36.8745,37.0148,4299300
ADRA,05-Oct-2010,26.19,26.56,26.19,26.56,4000
ADRD,05-Oct-2010,20.75,21.01,20.73,21.01,10500
ADRE,05-Oct-2010,46.01,46.75,45.95,46.6,98300
ADRU,05-Oct-2010,20.57,20.78,20.57,20.78,8400
ADSK,05-Oct-2010,31.92,32.94,31.64,32.71,4049300
ADTN,05-Oct-2010,35.85,36.4,35.79,36.27,1022400
ADUS,05-Oct-2010,3.8,4,3.8,3.85,13300
AEHR,05-Oct-2010,1.58,1.59,1.31,1.35,22900
AEIS,05-Oct-2010,12.99,13.37,12.79,13.15,418200
AETI,05-Oct-2010,2.28,2.32,2.28,2.32,5500
AEY,05-Oct-2010,2.99,3.02,2.99,3.02,10200
AEZS,05-Oct-2010,768,834,738,780,2548700
AFAM,05-Oct-2010,28.77,29.56,28.65,29.48,101500
AFSI,05-Oct-2010,7.375,7.575,7.295,7.535,192900
AGEN,05-Oct-2010,0.96,0.98,0.95,0.95,204300
AGII,05-Oct-2010,34.54,35.02,34.09,34.9,124400
AGNC,05-Oct-2010,27.06,27.15,26.91,27.01,1316700
AGYS,05-Oct-2010,6.68,6.98,6.68,6.9,175800
AHGP,05-Oct-2010,43.7,44.22,43.5,43.6,40300
AHPI,05-Oct-2010,4.11,4.28,4.11,4.28,900
AIMC,05-Oct-2010,14.52,14.9,14.26,14.8,105400
AINV,05-Oct-2010,10.37,10.49,10.21,10.44,2227000
AIRT,05-Oct-2010,8.65,8.81,8.64,8.7,14700
AKAM,05-Oct-2010,47.78,48.41,47.27,47.91,4904000
AKRX,05-Oct-2010,3.98,4.08,3.9,4.05,374700
ALCO,05-Oct-2010,22.58,23.47,22.58,23.46,15300
ALGN,05-Oct-2010,19.48,19.59,19.22,19.5,1035500
ALGT,05-Oct-2010,41.78,42.13,41.3,42.1,174900
ALIM,05-Oct-2010,10.42,10.46,10.13,10.27,23000
ALKS,05-Oct-2010,14.86,15.02,14.8,14.92,913400
ALLT,05-Oct-2010,6.18,6.32,6.02,6.25,92500
ALNY,05-Oct-2010,12.24,12.28,12.15,12.23,361200
ALOG,05-Oct-2010,44.86,45.83,44.44,45.67,61900
ALOT,05-Oct-2010,7.08,7.08,6.86,6.91,300
ALRN,05-Oct-2010,0.77,0.8,0.77,0.8,5100
ALSK,05-Oct-2010,9.97,10.2,9.94,10.19,389100
ALTR,05-Oct-2010,29.62,30.17,29.5,29.98,12396900
ALXN,05-Oct-2010,32.09,33.225,32.015,33.155,955900
AMAG,05-Oct-2010,19.02,19.39,18.61,18.92,609300
AMAT,05-Oct-2010,11.61,11.9,11.6,11.86,20999800
AMCN,05-Oct-2010,5.5,5.52,5.24,5.33,148000
AMD,05-Oct-2010,7.04,7.12,6.89,6.98,36286400
AMED,05-Oct-2010,23.65,24.23,23.52,24.16,650500
AMGN,05-Oct-2010,55.24,56.25,55.2,56.12,5601800
AMKR,05-Oct-2010,6.62,7.02,6.5,6.92,5802400
AMNB,05-Oct-2010,21.8,23,21.71,23,22500
AMOT,05-Oct-2010,4.26,4.6,4.1,4.21,10700
AMPH,05-Oct-2010,32.41,32.42,32.35,32.37,82400
AMRB,05-Oct-2010,6.2,6.25,6.14,6.25,1300
AMRN,05-Oct-2010,2.58,2.63,2.43,2.57,702300
AMRS,05-Oct-2010,258.45,272.1,255,263.4,148700
AMSC,05-Oct-2010,324.1,334.6,323,334.6,891600
AMSF,05-Oct-2010,18.8,19.4,18.49,19.17,85000
AMSWA,05-Oct-2010,6,6.13,5.75,6.08,115900
AMTD,05-Oct-2010,16.2,16.43,16.12,16.39,5433300
AMWD,05-Oct-2010,17.65,18.38,17.55,18.35,18200
AMZN,05-Oct-2010,157.08,161.21,157.01,160.87,5620900
ANAT,05-Oct-2010,76.63,76.7,75.55,76.65,23100
ANCX,05-Oct-2010,6.15,6.17,6.15,6.17,3700
ANDE,05-Oct-2010,25.4867,25.9267,25.1933,25.8533,177900
ANGO,05-Oct-2010,14.71,15.02,14.42,14.98,121000
ANIK,05-Oct-2010,5.75,6,5.75,5.97,48100
ANSS,05-Oct-2010,41.83,42.77,41.83,42.56,824800
ANTH,05-Oct-2010,268.8,272,266.24,269.44,101000
AOSL,05-Oct-2010,11.48,11.83,11.43,11.48,60100
APEI,05-Oct-2010,32.53,33.13,32.44,32.86,266400
APOG,05-Oct-2010,9.76,9.76,9.56,9.68,166800
APRI,05-Oct-2010,17.5,17.5,17.1,17.1,134700
ARAY,05-Oct-2010,6.06,6.16,6.06,6.15,242800
ARCC,05-Oct-2010,15.75,15.78,15.5,15.64,1389100
ARCI,05-Oct-2010,3.24,3.24,3.24,3.24,1900
ARCW,05-Oct-2010,1.06,1.06,1.06,1.06,500
AREX,05-Oct-2010,11.67,12.6,11.63,12.12,301400
ARII,05-Oct-2010,15.9,16.54,15.04,16.51,60600
ARKR,05-Oct-2010,14.8,14.85,14.78,14.8,8900
ARLP,05-Oct-2010,29.54,29.945,29.265,29.875,77900
ARNA,05-Oct-2010,17.1,18.2,16.5,17.2,12120100
AROW,05-Oct-2010,25.08,25.49,24.73,25.48,25400
ARQL,05-Oct-2010,5.11,5.28,5.02,5.12,574600
ARRS,05-Oct-2010,9.83,9.94,9.76,9.89,1115200
ARRY,05-Oct-2010,3.29,3.44,3.24,3.43,296100
ARTNA,05-Oct-2010,19.12,19.2,18.75,19.19,9700
ARTW,05-Oct-2010,6.31,6.5,6.31,6.5,24400
ARTX,05-Oct-2010,1.88,1.95,1.85,1.85,25000
ARWR,05-Oct-2010,0.98,1.05,0.93,0.98,156500
ASCMA,05-Oct-2010,27.06,27.97,26.89,27.89,54400
ASFI,05-Oct-2010,7.66,8.11,7.54,8,83300
ASML,05-Oct-2010,30.03,30.44,29.99,30.31,2903700
ASPS,05-Oct-2010,29.78,30.26,27.51,27.58,559200
